,0,1
1015,300535,达威股份
1016,002607,中公教育
1017,002112,三变科技
1018,002448,中原内配
1019,002423,中粮资本
1020,300534,陇神戎发
1021,002755,奥赛康
1022,002324,普利特
1023,300154,瑞凌股份
1024,002286,保龄宝
1025,002658,雪迪龙
1026,002433,太安堂
1027,003025,思进智能
1028,002172,澳洋健康
1029,002355,兴民智通
1030,300718,长盛轴承
1031,002226,江南化工
1032,300172,中电环保
1033,000967,盈峰环境
1034,002102,ST冠福
1035,002737,葵花药业
1036,300538,同益股份
1037,300917,特发服务
1038,002205,国统股份
1039,000632,三木集团
1040,002780,三夫户外
1041,300656,民德电子
1042,000520,长航凤凰
1043,002107,沃华医药
1044,300248,新开普
1045,002909,集泰股份
1046,000716,黑芝麻
1047,300029,ST天龙
1048,000678,襄阳轴承
1049,300389,艾比森
1050,002490,山东墨龙
1051,300799,左江科技
1052,002670,国盛金控
1053,002655,共达电声
1054,300100,双林股份
1055,300571,平治信息
1056,002283,天润工业
1057,300130,新国都
1058,300778,新城市
1059,000422,ST宜化
1060,000776,广发证券
1061,002935,天奥电子
1062,300002,神州泰岳
1063,002833,弘亚数控
1064,002656,ST摩登
1065,000887,中鼎股份
1066,002619,艾格拉斯
1067,002775,文科园林
1068,000407,胜利股份
1069,002676,顺威股份
1070,000895,双汇发展
1071,300332,天壕环境
1072,300437,清水源
1073,002225,濮耐股份
1074,000060,中金岭南
1075,300616,尚品宅配
1076,300265,通光线缆
1077,300642,透景生命
1078,000735,罗 牛 山
1079,300016,北陆药业
1080,002941,新疆交建
1081,002692,ST远程
1082,300220,金运激光
1083,000963,华东医药
1084,002199,东晶电子
1085,000533,顺钠股份
1086,000409,ST地矿
1087,002491,通鼎互联
1088,300228,富瑞特装
1089,000404,长虹华意
1090,300111,向日葵
1091,000958,东方能源
1092,000007,全新好
1093,002987,京北方
1094,002820,桂发祥
1095,300199,翰宇药业
1096,002437,誉衡药业
1097,300026,红日药业
1098,002292,奥飞娱乐
1099,000607,华媒控股
1100,000779,甘咨询
1101,300401,花园生物
1102,000950,重药控股
1103,000848,承德露露
1104,300694,蠡湖股份
1105,002871,伟隆股份
1106,002701,奥瑞金
1107,300669,沪宁股份
1108,002322,理工环科
1109,002878,元隆雅图
1110,002977,天箭科技
1111,000959,首钢股份
1112,000727,*ST东科
1113,000605,渤海股份
1114,300101,振芯科技
1115,300497,富祥药业
1116,000688,国城矿业
1117,002519,银河电子
1118,002204,大连重工
1119,300471,厚普股份
1120,002167,东方锆业
1121,300237,美晨生态
1122,002422,科伦药业
1123,300105,龙源技术
1124,300387,富邦股份
1125,002319,*ST乐通
1126,300608,思特奇
1127,002788,鹭燕医药
1128,300600,国瑞科技
1129,002910,庄园牧场
1130,002366,台海核电
1131,300668,杰恩设计
1132,002955,鸿合科技
1133,000529,广弘控股
1134,300125,聆达股份
1135,000505,京粮控股
1136,000037,深南电A
1137,002983,芯瑞达
1138,000750,国海证券
1139,002303,美盈森
1140,300615,欣天科技
1141,000819,岳阳兴长
1142,000820,*ST节能
1143,300654,世纪天鸿
1144,300333,兆日科技
1145,300832,新产业
1146,002386,天原股份
1147,002328,新朋股份
1148,002669,康达新材
1149,002547,春兴精工
1150,002868,绿康生化
1151,002873,新天药业
1152,300298,三诺生物
1153,300422,博世科
1154,002561,徐家汇
1155,300649,杭州园林
1156,002869,金溢科技
1157,002152,广电运通
1158,300114,中航电测
1159,002053,云南能投
1160,002109,兴化股份
1161,002261,拓维信息
1162,000525,红 太 阳
1163,300660,江苏雷利
1164,002609,捷顺科技
1165,000707,ST双环
1166,300877,金春股份
1167,300335,迪森股份
1168,000682,东方电子
1169,002390,信邦制药
1170,300508,维宏股份
1171,300321,同大股份
1172,300093,金刚玻璃
1173,000506,中润资源
1174,300287,飞利信
1175,002494,华斯股份
1176,002154,报 喜 鸟
1177,300017,网宿科技
1178,300259,新天科技
1179,003030,祖名股份
1180,300069,金利华电
1181,001914,招商积余
1182,300370,安控科技
1183,002073,软控股份
1184,002921,联诚精密
1185,002162,悦心健康
1186,002694,顾地科技
